WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Caravelas,BR,-17.71,-39.25,64.56,88,7,9.42,light rain
83,Nelson,NZ,-41.28,173.28,54.0,69,99,7.7,light rain
84,Georgetown,MY,5.41,100.34,91.4,66,20,10.29,few clouds
85,Yellowknife,CA,62.46,-114.35,53.6,81,90,9.17,overcast clouds
86,Uarini,BR,-2.99,-65.11,71.06,68,1,0.96,clear sky
87,Krasnyy Chikoy,RU,50.36,108.75,68.59,59,71,0.4,light rain
88,Victoria,HK,22.29,114.16,91.0,63,0,15.01,clear sky
89,Nanortalik,GL,60.14,-45.24,42.85,86,84,7.23,broken clouds
90,Filingue,NE,14.35,3.32,76.62,81,90,6.55,overcast clouds
91,Bambous Virieux,MU,-20.34,57.76,75.2,64,75,12.75,shower rain
92,Saint-Francois,FR,46.42,3.91,62.01,80,68,1.99,broken clouds
93,Sioux Lookout,CA,50.1,-91.92,62.6,72,75,3.36,broken clouds
94,Oistins,BB,13.07,-59.53,82.4,78,40,11.41,shower rain
95,Bom Jesus,BR,-9.07,-44.36,68.94,57,22,1.34,few clouds
96,Chokurdakh,RU,70.63,147.92,43.74,64,92,7.61,overcast clouds
97,Yuzhnyy,RU,53.25,83.69,60.8,77,100,4.47,light rain
98,Sakakah,SA,29.97,40.21,95.0,12,0,4.7,clear sky
99,Flinders,AU,-34.58,150.86,57.0,61,7,1.99,clear sky
100,Provideniya,RU,64.38,-173.3,49.86,85,85,2.71,overcast clouds
101,Airai,TL,-8.93,125.41,71.44,46,0,7.72,clear sky
102,Bosaso,SO,11.28,49.18,96.8,37,70,20.8,broken clouds
103,Formosa,AR,-26.18,-58.18,73.4,60,0,13.87,clear sky
104,Sitka,US,57.05,-135.33,53.6,93,90,5.82,overcast clouds
105,Bathsheba,BB,13.22,-59.52,82.4,78,40,11.41,shower rain
106,Canakkale,TR,40.08,26.83,78.8,61,20,11.41,few clouds
107,Svetlaya,RU,46.54,138.33,64.0,93,99,9.13,overcast clouds
108,Hobyo,SO,5.35,48.53,82.96,61,100,20.92,overcast clouds
109,Tigre,AR,-34.43,-58.58,63.0,72,100,6.93,overcast clouds
110,Kruisfontein,ZA,-34.0,24.73,62.01,82,87,5.14,overcast clouds
111,Esperance,AU,-33.87,121.9,66.2,59,57,3.36,broken clouds
112,Montrose,US,38.42,-108.27,75.2,33,1,4.7,clear sky
113,La Asuncion,VE,11.03,-63.86,82.4,83,97,8.05,overcast clouds
114,Kralendijk,BQ,12.15,-68.27,82.4,78,100,10.29,overcast clouds
115,Havre-Saint-Pierre,CA,50.23,-63.6,51.8,93,90,4.7,overcast clouds
116,Hamilton,US,39.18,-84.53,77.0,78,1,5.82,clear sky
117,Rawson,AR,-43.3,-65.1,45.03,78,100,20.33,overcast clouds
118,Henties Bay,NA,-22.12,14.28,55.0,93,76,4.14,broken clouds
119,Faanui,PF,-16.48,-151.75,77.05,83,77,20.87,light rain
120,Avarua,CK,-21.21,-159.78,71.6,78,14,3.36,few clouds
121,Alofi,NU,-19.06,-169.92,73.4,83,100,2.24,overcast clouds
122,Haines Junction,CA,60.75,-137.51,44.89,84,36,4.59,scattered clouds
123,Qaanaaq,GL,77.48,-69.36,33.62,92,100,6.4,overcast clouds
124,Nishihara,JP,26.18,127.76,87.8,89,75,16.11,light intensity shower rain
125,Luba,GQ,3.46,8.55,75.2,94,75,4.7,broken clouds
126,Katangli,RU,51.71,143.23,55.18,97,100,20.22,moderate rain
127,Tiksi,RU,71.69,128.87,41.74,71,0,14.23,clear sky
128,Ostrovnoy,RU,68.05,39.51,60.75,67,84,7.27,broken clouds
129,Zhigansk,RU,66.77,123.37,55.83,40,0,6.78,clear sky
130,Olga,RU,43.74,135.29,67.41,96,100,2.21,overcast clouds
131,Omboue,GA,-1.57,9.26,75.88,75,100,4.74,overcast clouds
132,Chimore,BO,-16.98,-65.13,69.37,77,44,1.32,scattered clouds
133,Avera,US,33.19,-82.53,73.4,95,40,6.42,scattered clouds
134,Alamogordo,US,32.9,-105.96,78.8,35,1,9.17,clear sky
135,Newport,GB,51.59,-3.0,63.0,98,100,7.0,light rain
136,Vila Franca Do Campo,PT,37.72,-25.43,73.4,94,75,9.17,broken clouds
137,Hermanus,ZA,-34.42,19.23,58.26,70,0,5.95,clear sky
138,Wokha,IN,26.1,94.27,75.99,81,99,2.75,light rain
139,Celestun,MX,20.87,-90.4,80.1,88,100,6.22,overcast clouds
140,East London,ZA,-33.02,27.91,64.4,82,100,10.29,overcast clouds
141,Nikolskoye,RU,59.7,30.79,63.0,72,3,11.18,clear sky
142,Pisco,PE,-13.7,-76.22,61.0,87,37,4.7,scattered clouds
143,Saint-Philippe,RE,-21.36,55.77,75.2,64,40,5.82,scattered clouds
144,Harper,LR,4.38,-7.72,75.33,79,100,7.58,overcast clouds
145,Myaundzha,RU,63.05,147.19,49.23,52,97,9.19,overcast clouds
146,Ferrol,ES,43.48,-8.24,64.99,87,90,8.05,overcast clouds
147,Urgut,UZ,39.4,67.24,78.8,39,75,4.7,broken clouds
148,Lompoc,US,34.64,-120.46,61.0,93,1,5.82,clear sky
149,Fairbanks,US,64.84,-147.72,57.2,82,75,3.31,broken clouds
150,Tairua,NZ,-37.02,175.85,55.99,75,0,13.0,clear sky
151,Keuruu,FI,62.27,24.7,55.4,81,9,5.82,clear sky
152,Mahebourg,MU,-20.41,57.7,75.2,64,75,12.75,shower rain
153,Juneau,US,58.3,-134.42,55.0,93,90,11.41,fog
154,Laguna,US,38.42,-121.42,75.99,46,1,5.82,smoke
155,Makokou,GA,0.57,12.86,71.35,93,100,3.71,light rain
156,Abonnema,NG,4.71,6.79,71.6,94,40,1.07,mist
157,Shimoda,JP,34.67,138.95,84.2,74,20,9.17,few clouds
158,Morris,US,40.83,-74.53,71.01,88,1,4.61,clear sky
